ANUALIDAD,NUMBARRIO,NOMBARRIO,I_ALQUILER,HABITANTES,EXTRANJEROS,SUPERFICIE,DENSIDAD,MEN_16,DE_16_A_65,MAY_65,TDEP_INF,TDEP_MAY,TDEP_TOTAL,ALTAS_UNIVERSITARIAS,BAJAS_SE,NACIMIENTOS,RENTA_NMPP,RESTAURACION,COMERCIAL,NUM_VIVIENDAS,PLAZAS_VIVIENDAS,NUM_ESTAB_HOTELEROS,PLAZAS_ESTAB_HOTELEROS,SUP_ZONAS_VERDES,ZV_X_HABITANTES,S_SALUD,PROX_S_SALUD,C_CULTURALES,C_OCIO,C_DEPORTIVOS,C_ALIMENTACION,PERSONAS_X_HOGAR
2020,269,GRANJA SUAREZ,3.98,1866,136,106755.1552,174.7924956,269,1302,295,20.66052227,22.65745008,43.31797235,19,20,11,8841.0177,11,32,1,6,0,0,260.564907,0.139638214,0,1869,0,0,1,1,2.8273
2020,270,CARLINDA,6.89,1963,148,127351.3879,154.1404481,297,1289,377,23.04111715,29.24747867,52.28859581,32,11,8,9093.595,5,5,0,0,0,0,797.80999,0.406423836,0,1961,0,0,0,3,2.6278
2020,271,SAN ALBERTO,5.37,1322,52,193832.2608,68.20330085,213,903,206,23.58803987,22.81284607,46.40088594,5,19,9,7068.9773,2,2,0,0,0,0,100.308803,0.075876553,0,308,0,0,0,1,2.9575
2020,272,LA CORTA,0,888,26,256621.5098,34.6034906,318,539,31,58.99814471,5.751391466,64.74953618,2,20,17,5784,0,0,0,0,0,0,0,0,0,513,0,0,0,0,3.9119
2020,273,FLORISOL,2.87,1263,15,167623.439,75.34745783,227,934,102,24.30406852,10.92077088,35.2248394,19,14,10,9489.9058,4,4,0,0,0,0,893.79718,0.707677894,1,1263,0,0,3,2,3.0507
2020,274,TEJAR DE SALYT,0,0,0,67854.06865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,275,LOS CHOPOS,0,105,0,105312.9929,9.970279742,16,72,17,22.22222222,23.61111111,45.83333333,0,12,0,8515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9167
2020,276,ESTACION DE CAMPANILLAS,5.53,102,1,18526.38998,55.05659771,15,65,22,23.07692308,33.84615385,56.92307692,1,16,0,7177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4878
2020,277,SANTA AGUEDA,1.81,176,7,41492.22112,42.41758943,25,113,38,22.12389381,33.62831858,55.75221239,2,16,1,7177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7937
2020,278,CASTAÑETAS,3.81,1434,38,112539.0974,127.4223832,326,926,182,35.20518359,19.65442765,54.85961123,17,16,11,7177,1,2,0,0,0,0,152.965299,0.106670362,0,0,0,0,0,1,2.9751
2020,279,VALLEJO,0,24,0,34285.69755,7.000003416,3,15,6,20,40,60,0,20,1,4506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,280,PILAR DEL PRADO,6.37,376,25,90247.82389,41.66305444,68,259,49,26.25482625,18.91891892,45.17374517,1,20,2,4506,1,14,0,0,0,0,401.785471,1.06857838,0,230,0,0,0,0,2.9375
2020,281,OLIVEROS,5.46,161,3,38734.68922,41.56481006,41,118,2,34.74576271,1.694915254,36.44067797,0,20,5,4506,0,0,0,0,0,0,432.2502,2.684783851,0,161,0,0,0,0,2.7759
2020,282,HUERTECILLAS MAÑAS,2.74,1395,36,112053.4553,124.4941529,244,927,224,26.3214671,24.1639698,50.48543689,20,17,14,8905,2,5,0,0,0,0,118.690839,0.085083039,0,20,0,0,0,3,3.0326
2020,283,COLMENAREJO,0,759,18,142965.2513,53.08982378,133,509,117,26.12966601,22.98624754,49.11591356,7,21,4,8079.1818,5,2,0,0,0,0,227.191486,0.299330021,0,0,0,0,1,2,2.9648
2020,284,EL PRADO,6.43,237,10,40945.9076,57.88124232,36,179,22,20.11173184,12.29050279,32.40223464,3,11,1,10545,4,9,0,0,0,0,0,0,0,237,0,0,0,0,3.0779
2020,285,EL BRILLANTE,5.73,501,17,121000.0123,41.40495449,73,357,71,20.44817927,19.88795518,40.33613445,7,11,3,10545,2,5,0,0,0,0,397.958093,0.794327531,1,501,0,0,0,1,2.8793
2020,286,SEGOVIA,5.41,926,41,159473.1832,58.06618902,278,626,22,44.40894569,3.514376997,47.92332268,23,22,10,10383,1,3,2,8,0,0,746.256008,0.805892017,0,208,0,0,0,1,2.7976
2020,287,CAMPANILLAS,5.23,3678,233,412064.9687,89.2577695,606,2576,496,23.52484472,19.25465839,42.77950311,87,23,27,9909.5786,30,26,1,2,0,0,399.443776,0.108603528,0,1098,1,0,2,4,2.7758
2020,288,ROQUERO,4.09,1660,50,263189.9156,63.0723254,389,1157,114,33.62143475,9.85306828,43.47450303,25,21,15,9854,1,1,0,0,1,22,1231.251732,0.741717911,0,0,0,1,0,0,3.0684
2020,289,LOS MANCERAS,2.51,305,15,93315.5464,32.68480031,57,203,45,28.07881773,22.16748768,50.24630542,5,21,0,9854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8241
2020,290,PARQUE TECNOLOGICO,0,0,0,2315878.927,0,4,-6,2,-66.66666667,-33.33333333,-100,0,0,0,0,15,36,0,0,1,153,9330.445343,0,0,0,0,0,0,1,0
2020,291,MAQUEDA,3.76,2083,130,280573.1615,74.24088566,409,1447,227,28.26537664,15.68762958,43.95300622,26,16,15,9680,8,9,1,6,1,22,860.352373,0.413035225,1,1987,0,0,0,2,2.8613
2020,292,MIRANDA,0,2,1,53937.14953,0.370801946,0,1,1,0,100,100,0,16,0,9680,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2020,293,LA FABRICA,4.6,569,19,149995.0881,37.93457553,103,411,55,25.06082725,13.38199513,38.44282238,11,27,5,9381,4,5,0,0,0,0,0,0,0,564,0,0,0,1,2.9482
2020,294,SANTA ROSALIA,2.7,1530,37,340436.1581,44.94234715,216,1033,281,20.90997096,27.20232333,48.11229429,29,27,10,9381,10,6,0,0,0,0,2797.988174,1.828750441,0,1345,1,1,2,4,3.0478
2020,295,LOMA DEL CAMPO,5.47,233,10,37300.14289,62.46624864,39,170,24,22.94117647,14.11764706,37.05882353,3,16,3,9680,1,1,1,4,0,0,0,0,0,51,0,0,0,0,2.6477
2020,296,CAMPO DE GOLF,0,0,0,747953.9222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172,0,0,0,0,0,0,0,0,0
2020,297,VEGA DE ORO,0,214,17,93358.42286,22.92240951,25,159,30,15.72327044,18.86792453,34.59119497,5,10,0,10332,0,3,2,9,0,0,0,0,0,0,0,0,0,0,2.7792
2020,298,CAMPAMENTO BENITEZ,0,0,0,438495.9973,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2275.044404,0,0,0,0,0,0,0,0
2020,299,EL OLIVAR,0,297,17,355689.8658,8.349970818,43,139,115,30.9352518,82.73381295,113.6690647,9,15,4,16296,2,18,5,45,1,38,0,0,0,0,0,0,0,0,3.0938
